questionID,category,sets,question,A,B,C,D,AnswerKey
Mercury_7098053,Test,easy,"When the fuel in a gasoline engine is burned, the energy conversion is from ", chemical to thermal. , potential to nuclear. , thermal to potential. , electrical to kinetic.,A
NYSEDREGENTS_2010_4_21,Test,easy,Plants are producers because they , make their own food , can grow in soil , need water to grow , take in nutrients,A
Mercury_7094605,Test,easy,Which of these technologies helps a power company use renewable energy for the production of electricity? , hydroelectric power , nuclear power plants , natural gas generators , coal-fired power plants,A
Mercury_SC_413532,Test,easy,Which of these is an example of a new substance being formed? , a nail rusting , a wall being painted , water changing to steam , paper being folded,A
MEA_2013_5_7,Test,easy,Which object is best seen with a microscope? , human cell , cow heart , oak leaf , chicken leg,A
Mercury_7057768,Test,easy,"In order for plants to grow, the cells require nutrients in the form of minerals. The minerals come from ", soil. , air. , water. , pollen.,A
TIMSS_2007_8_pg63,Test,easy,"In living organisms, the level of organization from least complex to most complex is "," cell, tissue, organ, organism "," cell, organ, tissue, organism "," tissue, cell, organ, organism "," tissue, organ, cell, organism",A
Mercury_7267908,Test,easy,Why is a spacesuit inflated like a balloon? , to simulate the air pressure of Earth , to help astronauts float in outer space , to protect astronauts from solar radiation , to provide an oxygen supply for breathing,A
Mercury_7137270,Test,easy,Which term best describes the process responsible for cave formation that results from rock being dissolved by groundwater? , chemical weathering , glacial movement , sedimentation , abrasion,A
Mercury_SC_406475,Test,easy,Jennifer is jumping rope. Which type of characteristic is she most likely demonstrating? , learned , recessive , inherited , instinctive,A
Mercury_7165795,Test,easy,A teacher breaks a bar of pure copper into two different sized pieces. Which is the most likely difference between the two pieces? , mass , texture , boiling point , melting point,A
ACTAAP_2014_5_6,Test,easy,"Scientists found large areas of fossilized wood in a desert in Arizona. The fossilized wood is evidence of the ancient environment. Based on the evidence, what was the ancient environment in this area? ", forest , desert , glacier , grasslands,A
MCAS_2003_5_28,Test,easy,Ruben is using a compass to find out which direction the wind is blowing. Which of the following would be best for him to observe to help him find the direction of the wind? , a flag on a pole , the temperature on a thermometer , birds flying above the trees , the shadow of a building,A
MEAP_2005_8_15,Test,easy,"When rain falls on the land, some of it is absorbed by surface sediment. How porous the surface sediments are controls how much water is absorbed. Which of the following will most likely result in an area where surface sediment is NOT porous? ", flooding , droughts , tornadoes , spring formation,A
Mercury_SC_401257,Test,easy,Which substance can be used to conduct electricity in a circuit? , metal , wood , rubber , plastic,A
NAEP_2000_8_S21+8,Test,easy,Which of the following is designed to convert energy into mechanical work? , Electric fan , Kerosene heater , Flashlight , Baking oven,A
ACTAAP_2007_7_30,Test,easy,Which best describes a scientific theory? , It is still being tested. ," It is true, once written. ", It is different for each continent. , It is determined in a court of law.,A
Mercury_SC_402125,Test,easy,Two high tides and two low tides occur on Earth every , day. , hour. , week. , month.,A
Mercury_7234115,Test,easy,Extensive folding of sedimentary rock layers on Earth provides indirect evidence of certain processes occurring throughout Earth's history. Which of these is most likely one of these processes? , convective heat loss from Earth's mantle , slowing of the rotation of Earth's core , increase in the density of Earth's atmosphere , slow increase in the distance of Earth's orbit,A
Mercury_7018533,Test,easy,Which is not a type of electromagnetic wave? , sound wave , x-ray , microwave , radio wave,A
TIMSS_2011_8_pg66,Test,easy,What happens to the molecules of a liquid when the liquid cools? , They slow down. , They speed up. , They decrease in number , They decrease in size,A
Mercury_406955,Test,easy,"When heated, mercuric oxide decomposes to form liquid mercury and oxygen. A scientist heated 10 grams (g) of mercuric oxide and formed 9.3 grams of liquid mercury. How many grams of oxygen were formed? ", 0.7 g , 9.3 g , 10.0 g , 19.3 g,A
VASoL_2009_3_7,Test,easy,Which would help conserve water? , Turn off water while brushing teeth , Wash the car every day , Water the lawn every day , Run the dishwasher after each meal,A
Mercury_7001348,Test,easy,"A red flowered plant (RR) is crossed with a white flowered plant (WW) and produces plants with pink flowers (RW). If two pink flowered plants are crossed, what color offspring could be produced? "," red, white, and pink ", red and white , pink and red , pink and white,A
Mercury_7115098,Test,easy,What is the main function of the chloroplasts in plant cells? , to produce glucose , to keep the cell rigid , to make the cell divide , to allow the plant to reproduce,A
Mercury_SC_401602,Test,easy,A model of the Moon would be different from a model of Earth in that the Moon should , be smaller than Earth. , have a source of light inside. , have a smoother surface than Earth. , have fewer impact craters on the surface.,A
Mercury_LBS10254,Test,easy,Which of the following shows the correct sequence of inventions? , printing press -> microscope -> telephone , television -> automobile -> microwave , airplane -> microphone -> radio , Doppler radar -> microphone -> telescope,A
NYSEDREGENTS_2010_4_27,Test,easy,"When two animals live in the same area and depend on the same organism for food, they are ", competing , decomposing , germinating , hibernating,A
Mercury_SC_400177,Test,easy,Which material best conducts heat and electricity? , metal , plastic , rubber , wood,A
Mercury_7110303,Test,easy,Binary stars orbit around the center of mass of the two stars. What causes the stars to remain together? , gravity between the stars , energy released from the stars , nuclear reactions in the stars , magnetic attraction between the stars,A
LEAP_2009_8_10429,Test,easy,How does no-till farming help the environment? , It decreases soil erosion. , It increases soil removal. , It increases fertilizer use. , It decreases crop yield.,A
MCAS_2004_8_25,Test,easy,"In a laboratory, a sealed container with 100 g of steam is cooled until all the steam becomes a liquid. The container is then cooled further until all the water becomes a solid. Which of the following remains constant during both of these changes? ", the mass of the water , the pressure in the container , the total energy of the water , the position of the atoms in the container,A
